Category: All categories

Month,Computer Science: (United States)
2004-01,100
2004-02,92
2004-03,86
2004-04,91
2004-05,82
2004-06,56
2004-07,69
2004-08,68
2004-09,83
2004-10,85
2004-11,81
2004-12,68
2005-01,67
2005-02,78
2005-03,70
2005-04,61
2005-05,53
2005-06,52
2005-07,54
2005-08,61
2005-09,65
2005-10,57
2005-11,59
2005-12,56
2006-01,59
2006-02,58
2006-03,61
2006-04,59
2006-05,50
2006-06,40
2006-07,40
2006-08,48
2006-09,55
2006-10,51
2006-11,54
2006-12,45
2007-01,51
2007-02,50
2007-03,46
2007-04,53
2007-05,48
2007-06,36
2007-07,38
2007-08,45
2007-09,57
2007-10,54
2007-11,58
2007-12,46
2008-01,58
2008-02,49
2008-03,56
2008-04,55
2008-05,44
2008-06,37
2008-07,39
2008-08,46
2008-09,61
2008-10,56
2008-11,56
2008-12,49
2009-01,53
2009-02,57
2009-03,58
2009-04,58
2009-05,55
2009-06,47
2009-07,41
2009-08,51
2009-09,66
2009-10,65
2009-11,62
2009-12,52
2010-01,61
2010-02,63
2010-03,62
2010-04,65
2010-05,57
2010-06,47
2010-07,39
2010-08,53
2010-09,64
2010-10,61
2010-11,62
2010-12,51
2011-01,52
2011-02,53
2011-03,49
2011-04,53
2011-05,49
2011-06,39
2011-07,38
2011-08,48
2011-09,60
2011-10,58
2011-11,55
2011-12,44
2012-01,55
2012-02,56
2012-03,53
2012-04,57
2012-05,52
2012-06,40
2012-07,38
2012-08,49
2012-09,60
2012-10,57
2012-11,53
2012-12,48
2013-01,56
2013-02,57
2013-03,57
2013-04,64
2013-05,57
2013-06,42
2013-07,40
2013-08,54
2013-09,66
2013-10,68
2013-11,62
2013-12,54
2014-01,66
2014-02,65
2014-03,63
2014-04,73
2014-05,64
2014-06,50
2014-07,50
2014-08,65
2014-09,75
2014-10,76
2014-11,71
2014-12,60
2015-01,73
2015-02,71
2015-03,74
2015-04,86
2015-05,67
2015-06,53
2015-07,52
2015-08,65
2015-09,80
2015-10,83
2015-11,78
2015-12,63
2016-01,69
2016-02,70
2016-03,69
2016-04,76
2016-05,67
2016-06,49
2016-07,45
2016-08,61
2016-09,71
2016-10,77
2016-11,74
2016-12,66
2017-01,76
2017-02,80
2017-03,83
2017-04,87
2017-05,73
2017-06,56
2017-07,53
2017-08,64
2017-09,76
2017-10,84
2017-11,79
2017-12,67
2018-01,73
2018-02,73
2018-03,75
2018-04,85
2018-05,77
2018-06,53
2018-07,52
2018-08,70
2018-09,79
2018-10,81
2018-11,77
2018-12,67
2019-01,77
2019-02,76
2019-03,78
2019-04,87
2019-05,78
2019-06,53
2019-07,50
2019-08,71
2019-09,85
2019-10,88
2019-11,83
